episode_id,timestamp,scenario_id,flow_id,source,destination,rate_mbps,throughput_mbps,delay_ms,packet_loss,sla_violation_risk,sla_violation,max_link_utilization,max_queue_delay_ms
episode_0001,0,normal,f1,n1,n4,15.0,15.0,15.0,0.0,0.0,False,0.2,1.0
episode_0001,0,normal,f2,n1,n4,20.0,20.0,15.0,0.0,0.0,False,0.2,1.0
episode_0001,0,normal,f3,n2,n6,10.0,10.0,15.0,0.0,0.0,False,0.2,1.0
episode_0001,1,normal,f1,n1,n4,15.0,15.0,23.6667,0.0,0.4733,False,0.75,7.6667
episode_0001,1,normal,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0
episode_0001,1,normal,f3,n2,n6,10.0,10.0,22.0,0.0,0.275,False,0.2,1.0
episode_0001,2,normal,f1,n1,n4,15.0,15.0,23.6667,0.0,0.4733,False,0.75,7.6667
episode_0001,2,normal,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0
episode_0001,2,normal,f3,n2,n6,10.0,10.0,22.0,0.0,0.275,False,0.2,1.0
episode_0001,3,normal,f1,n1,n4,15.0,15.0,23.6667,0.0,0.4733,False,0.75,7.6667
episode_0001,3,normal,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0
episode_0001,3,normal,f3,n2,n6,10.0,10.0,22.0,0.0,0.275,False,0.2,1.0
episode_0001,4,normal,f1,n1,n4,15.0,15.0,23.6667,0.0,0.4733,False,0.75,7.6667
episode_0001,4,normal,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0
episode_0001,4,normal,f3,n2,n6,10.0,10.0,22.0,0.0,0.275,False,0.2,1.0
episode_0001,5,normal,f1,n1,n4,15.0,15.0,23.6667,0.0,0.4733,False,0.75,7.6667
episode_0001,5,normal,f2,n1,n4,20.0,20.0,17.0,0.0,0.2833,False,0.2,1.0
episode_0001,5,normal,f3,n2,n6,10.0,10.0,22.0,0.0,0.275,False,0.2,1.0
